nohup: ignoring input
sync 3300 blocks, loaded 82.0%, ftell 29660981831, speed 11.0s/block
sync 3310 blocks, loaded 82.0%, ftell 29751271740, speed 11.0s/block
sync 3320 blocks, loaded 82.0%, ftell 29845991447, speed 11.0s/block
sync 3330 blocks, loaded 82.0%, ftell 29935274895, speed 11.0s/block
sync 3340 blocks, loaded 83.0%, ftell 30025574024, speed 11.0s/block
sync 3350 blocks, loaded 83.0%, ftell 30114919126, speed 11.0s/block
sync 3360 blocks, loaded 83.0%, ftell 30209999025, speed 11.0s/block
sync 3370 blocks, loaded 83.0%, ftell 30300129690, speed 11.0s/block
sync 3380 blocks, loaded 84.0%, ftell 30390014974, speed 11.0s/block
sync 3390 blocks, loaded 84.0%, ftell 30484496788, speed 11.0s/block
sync 3400 blocks, loaded 84.0%, ftell 30574073975, speed 11.0s/block
sync 3410 blocks, loaded 84.0%, ftell 30663789934, speed 11.0s/block
sync 3420 blocks, loaded 85.0%, ftell 30753464438, speed 11.0s/block
sync 3430 blocks, loaded 85.0%, ftell 30847628509, speed 11.0s/block
sync 3440 blocks, loaded 85.0%, ftell 30937261446, speed 11.0s/block
sync 3450 blocks, loaded 85.0%, ftell 31027362392, speed 11.0s/block
sync 3460 blocks, loaded 86.0%, ftell 31121834239, speed 11.0s/block
sync 3470 blocks, loaded 86.0%, ftell 31210895944, speed 11.0s/block
sync 3480 blocks, loaded 86.0%, ftell 31300973839, speed 11.0s/block
sync 3490 blocks, loaded 86.0%, ftell 31390153407, speed 11.0s/block
sync 3500 blocks, loaded 87.0%, ftell 31484656553, speed 11.0s/block
sync 3510 blocks, loaded 87.0%, ftell 31574187543, speed 11.0s/block
sync 3520 blocks, loaded 87.0%, ftell 31663713013, speed 11.0s/block
sync 3530 blocks, loaded 87.0%, ftell 31758485306, speed 11.0s/block
sync 3540 blocks, loaded 88.0%, ftell 31847459909, speed 11.0s/block
sync 3550 blocks, loaded 88.0%, ftell 31937385138, speed 11.0s/block
sync 3560 blocks, loaded 88.0%, ftell 32025880509, speed 11.0s/block
sync 3570 blocks, loaded 88.0%, ftell 32120365121, speed 11.0s/block
sync 3580 blocks, loaded 89.0%, ftell 32209821364, speed 11.0s/block
sync 3590 blocks, loaded 89.0%, ftell 32299169311, speed 11.0s/block
sync 3600 blocks, loaded 89.0%, ftell 32393473567, speed 11.0s/block
sync 3610 blocks, loaded 89.0%, ftell 32482518280, speed 11.0s/block
sync 3620 blocks, loaded 90.0%, ftell 32572473829, speed 11.0s/block
sync 3630 blocks, loaded 90.0%, ftell 32660681777, speed 11.0s/block
sync 3640 blocks, loaded 90.0%, ftell 32755988955, speed 11.0s/block
sync 3650 blocks, loaded 90.0%, ftell 32845985204, speed 11.0s/block
sync 3660 blocks, loaded 91.0%, ftell 32935089149, speed 11.0s/block
sync 3670 blocks, loaded 91.0%, ftell 33029489308, speed 11.0s/block
sync 3680 blocks, loaded 91.0%, ftell 33119049453, speed 11.0s/block
sync 3690 blocks, loaded 91.0%, ftell 33208599500, speed 11.0s/block
